A	B	C	D	E	F	G	H	I	J	K	L0	L1	L2	L3	L4	L5	M	N	O	P	Q	R	S	T	U	V	W	X	Y	Z
Algeria	0	0	0	0	0	0	0	0.433333333333333	0	0.0666666666666667	0	0	0	0.0333333333333333	0.0333333333333333	0	0	0	0	0	0	0	0.0333333333333333	0	0	0.4	0	0	0	0	0
Argentina	0.112903225806452	0.00537634408602151	0.158602150537634	0.0510752688172043	0.00537634408602151	0.00268817204301075	0	0.379032258064516	0.00806451612903226	0.0591397849462366	0.043010752688172	0.00268817204301075	0.010752688172043	0.00806451612903226	0.00806451612903226	0	0	0.010752688172043	0.00268817204301075	0	0	0	0.00268817204301075	0	0.0376344086021505	0.0833333333333333	0.00537634408602151	0	0.00268817204301075	0	0
Armenia	0	0	0.00518134715025907	0	0	0.0103626943005181	0	0.440414507772021	0.00518134715025907	0.145077720207254	0.0414507772020725	0	0	0	0	0	0	0.00518134715025907	0.0155440414507772	0.00518134715025907	0	0	0.0414507772020725	0	0.113989637305699	0.145077720207254	0.00518134715025907	0.0155440414507772	0.00518134715025907	0	0
Australia	0	0	0	0	0	0.02	0	0.6	0.02	0.02	0.04	0	0	0	0	0	0	0	0.06	0.06	0.08	0	0.02	0.02	0	0.06	0	0	0	0	0
Benin	0	0.00666666666666667	0	0.00666666666666667	0.02	0	0.00666666666666667	0.253333333333333	0	0	0	0.0533333333333333	0.106666666666667	0.233333333333333	0.173333333333333	0.00666666666666667	0	0	0	0	0.02	0	0.0733333333333333	0	0	0.0333333333333333	0	0.00666666666666667	0	0	0
Brazil	0.106918238993711	0.0364779874213836	0.0830188679245283	0.0226415094339623	0.00754716981132075	0.00754716981132075	0	0.383647798742138	0.00125786163522013	0.0125786163522013	0.020125786163522	0.0276729559748428	0.0716981132075472	0.0691823899371069	0.0415094339622641	0	0	0.00251572327044025	0.0050314465408805	0	0.00125786163522013	0	0.0452830188679245	0	0.020125786163522	0.030188679245283	0.00251572327044025	0.00125786163522013	0	0	0
Cambodia	0.00187793427230047	0.336150234741784	0.00657276995305164	0.0187793427230047	0	0.141784037558685	0	0.190610328638498	0	0.00187793427230047	0	0	0	0	0	0	0	0.132394366197183	0.031924882629108	0	0.00938967136150235	0	0.11830985915493	0	0.000938967136150235	0.00845070422535211	0.000938967136150235	0	0	0	0
CanadaNWTerritoriesNunavut	0.873684210526316	0	0	0.126315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CentralAfricanRepublic	0	0	0	0	0	0	0	0.0277777777777778	0	0	0	0.111111111111111	0.861111111111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chad	0	0	0	0	0	0	0	0.174757281553398	0	0	0.00970873786407767	0.12621359223301	0.058252427184466	0.242718446601942	0.242718446601942	0.00970873786407767	0.0388349514563107	0.00970873786407767	0.0194174757281553	0	0.00970873786407767	0	0.058252427184466	0	0	0	0	0	0	0	0
ChinaGuangdong	0.0368098159509202	0.184049079754601	0.0224948875255624	0.0674846625766871	0.0429447852760736	0.124744376278119	0.0224948875255624	0.274028629856851	0	0	0	0	0	0	0.00204498977505112	0	0	0.106339468302658	0.0184049079754601	0	0.0102249488752556	0	0.0470347648261759	0	0	0.0204498977505112	0.00204498977505112	0	0	0.00204498977505112	0.016359918200409
ChinaGuangxi	0.0112359550561798	0.0966292134831461	0.0292134831460674	0.0292134831460674	0	0.184269662921348	0	0.287640449438202	0	0	0.00674157303370787	0	0	0	0	0.00449438202247191	0	0.168539325842697	0.0247191011235955	0	0	0	0.130337078651685	0	0	0.00674157303370787	0.00449438202247191	0	0	0.00449438202247191	0.0112359550561798
ChinaHarbin	0.0833333333333333	0.0333333333333333	0.0833333333333333	0.0666666666666667	0	0.0833333333333333	0	0.366666666666667	0	0	0	0	0	0	0	0	0	0.1	0.0166666666666667	0	0	0	0.0833333333333333	0	0	0.0333333333333333	0	0	0	0.0166666666666667	0.0333333333333333
ChinaHubei	0.166666666666667	0.0952380952380952	0.0238095238095238	0.0238095238095238	0	0.0714285714285714	0.0238095238095238	0.357142857142857	0	0	0	0	0	0	0	0	0	0.0476190476190476	0.0476190476190476	0	0	0	0.0714285714285714	0	0	0	0	0	0	0	0.0714285714285714
ChinaLiaoning	0.0625	0.105978260869565	0.0380434782608696	0.0896739130434783	0.00271739130434783	0.0625	0.0135869565217391	0.293478260869565	0	0	0.00271739130434783	0	0	0	0	0	0	0.111413043478261	0.0543478260869565	0	0.00815217391304348	0	0.0896739130434783	0	0.00543478260869565	0.0135869565217391	0.00543478260869565	0.00271739130434783	0	0.016304347826087	0.0217391304347826
ChinaShandong	0.04	0.088	0.008	0.08	0	0.096	0.024	0.344	0	0	0	0	0	0	0.008	0	0	0.112	0.04	0	0	0	0.072	0	0	0.032	0.008	0	0	0.032	0.016
ChinaSichuan	0.103535353535354	0.0227272727272727	0.0454545454545455	0.0782828282828283	0	0.0378787878787879	0.0126262626262626	0.411616161616162	0	0	0.0252525252525253	0	0	0	0.00505050505050505	0	0	0.118686868686869	0.0202020202020202	0	0.00252525252525253	0	0.0606060606060606	0	0	0.0328282828282828	0.00252525252525253	0	0	0.00252525252525253	0.0176767676767677
ChinaUyghur	0.0689655172413793	0.0689655172413793	0.0172413793103448	0.0517241379310345	0	0.0689655172413793	0.0172413793103448	0.344827586206897	0	0.0344827586206897	0	0	0	0	0	0	0	0.0689655172413793	0	0	0.0517241379310345	0	0.0344827586206897	0	0	0.137931034482759	0	0	0	0	0.0344827586206897
ChinaXinjiang	0.0517560073937153	0.0739371534195934	0.077634011090573	0.0591497227356747	0.00369685767097967	0.066543438077634	0.0314232902033272	0.351201478743068	0.00369685767097967	0.0536044362292052	0.0129390018484288	0	0.00184842883548983	0	0	0	0	0.044362292051756	0.0147874306839187	0	0.0055452865064695	0	0.0406654343807763	0	0.0295748613678373	0.0536044362292052	0	0.00369685767097967	0.00184842883548983	0.00369685767097967	0.0147874306839187
ChinaYunnan	0.0180995475113122	0.0723981900452489	0.0271493212669683	0.113122171945701	0	0.167420814479638	0.00452488687782805	0.321266968325792	0	0.0316742081447964	0	0	0	0	0	0	0	0.122171945701357	0.0135746606334842	0	0.0226244343891403	0	0.0588235294117647	0	0	0.0135746606334842	0	0	0	0	0.0135746606334842
Colombia	0.0425531914893617	0	0.0851063829787234	0.0425531914893617	0.0212765957446809	0	0	0.25531914893617	0	0.127659574468085	0	0.0425531914893617	0.0425531914893617	0.0851063829787234	0.0638297872340425	0	0	0.0212765957446809	0	0	0.0638297872340425	0	0.0851063829787234	0	0	0.0212765957446809	0	0	0	0	0
DemocraticRepublicoftheCongo	0	0	0	0	0	0	0	0.266666666666667	0	0	0	0.4	0	0.2	0	0	0.0666666666666667	0	0	0	0.0666666666666667	0	0	0	0	0	0	0	0	0	0
Denmark	0	0	0	0	0	0	0	0.7	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0
EastTimor	0	0.241042345276873	0	0	0.0358306188925081	0.0846905537459283	0	0.39413680781759	0	0.00325732899022801	0	0	0	0	0	0	0	0.0130293159609121	0	0	0.00651465798045603	0.149837133550489	0.0716612377850163	0	0	0	0	0	0	0	0
Egypt	0	0	0	0.018348623853211	0	0	0	0.36697247706422	0.00917431192660551	0.036697247706422	0.0458715596330275	0.00917431192660551	0.018348623853211	0.073394495412844	0.00917431192660551	0	0.0275229357798165	0.0275229357798165	0.0458715596330275	0	0	0	0.0917431192660551	0	0.155963302752294	0.055045871559633	0.00917431192660551	0	0	0	0
France	0	0	0	0	0	0	0	0.584905660377358	0	0.0754716981132075	0.0377358490566038	0	0	0	0	0	0	0	0	0	0	0	0	0	0.113207547169811	0.150943396226415	0.0377358490566038	0	0	0	0
FrenchGuiana	0	0.0352112676056338	0.0140845070422535	0	0	0	0	0.288732394366197	0	0	0	0.0422535211267606	0.26056338028169	0.176056338028169	0.0563380281690141	0	0	0	0	0	0.00704225352112676	0	0.105633802816901	0	0	0.0140845070422535	0	0	0	0	0
FrenchPolynesia	0	0.869565217391304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.130434782608696	0	0	0	0	0	0	0	0	0
GeorgiaRussiaCaucasus	0.00871459694989107	0	0.00871459694989107	0.0130718954248366	0	0.0108932461873638	0.0108932461873638	0.517429193899782	0.00435729847494553	0.0675381263616558	0.0413943355119826	0	0	0	0.00544662309368192	0	0	0.00326797385620915	0.00871459694989107	0	0	0	0.0239651416122004	0	0.0773420479302832	0.175381263616558	0.00762527233115468	0.00762527233115468	0.00762527233115468	0	0
Germany	0	0	0.00401606425702811	0.00803212851405622	0	0.00401606425702811	0	0.42570281124498	0.0120481927710843	0.0803212851405622	0.108433734939759	0.00401606425702811	0.00401606425702811	0.00401606425702811	0	0	0	0.00401606425702811	0.00803212851405622	0	0.00401606425702811	0	0.0240963855421687	0	0.152610441767068	0.136546184738956	0.00803212851405622	0.00401606425702811	0.00401606425702811	0	0
Greece	0	0	0	0	0	0.0111111111111111	0	0.511111111111111	0	0.1	0.0388888888888889	0	0	0	0.00555555555555556	0	0	0.0111111111111111	0.0444444444444444	0	0.00555555555555556	0	0.0444444444444444	0.00555555555555556	0.116666666666667	0.0944444444444444	0	0.00555555555555556	0.00555555555555556	0	0
Greenland	0.956081081081081	0	0	0.0439189189189189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Guam	0	0.0227272727272727	0	0	0.772727272727273	0	0	0.181818181818182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0227272727272727	0	0	0	0	0	0	0	0
