Lat,Lon,Calibrated.age,Calibrated.error
-33.20,145.50,73,44
-7.32,144.17,95,69
-7.32,144.17,108,78
-9.97,142.18,110,80
-7.32,144.19,115,82
-7.31,144.18,118,83
-7.31,144.18,121,84
-7.32,144.19,126,85
-7.26,144.14,126,85
-9.97,142.18,129,86
-7.32,144.19,132,86
-7.31,144.18,132,86
-7.32,144.18,134,86
-7.31,144.18,137,86
35.03,-80.18,138,86
-7.37,144.17,146,86
-7.32,144.19,157,84
44.63,22.61,159,88
-17.75,145.51,160,83
55.42,-116.08,160,75
-7.37,144.17,162,84
-7.35,144.18,162,83
-7.31,144.18,165,82
-7.31,144.18,169,80
-17.44,145.79,176,106
-38.06,140.66,178,102
-7.35,144.18,181,75
-7.31,144.18,181,75
-7.31,144.18,182,73
-7.32,144.19,188,69
-7.26,144.14,193,67
-7.26,144.14,194,72
-7.32,144.18,196,67
-7.34,144.17,200,63
-7.32,144.19,208,62
59.48,-65.30,210,105
64.31,-113.71,210,80
-7.34,144.17,211,61
58.80,-97.75,220,95
59.28,-73.37,220,60
-13.10,133.80,224,60
51.76,8.66,240,110
-32.30,141.50,246,95
-7.31,144.18,246,71
-7.34,144.17,248,129
68.54,-97.30,280,105
46.19,-83.03,290,40
80.26,-86.49,290,60
46.19,-83.01,300,60
64.09,-139.44,300,65
69.16,-140.15,300,65
-7.34,144.17,306,83
41.25,-79.50,312,226
-14.52,132.90,322,78
66.27,-110.24,325,90
64.24,-76.56,330,50
79.94,-85.39,330,110
-7.31,144.18,341,74
53.65,-74.66,350,50
-7.31,144.18,352,63
62.79,-115.95,360,180
55.23,-113.22,365,55
53.65,-74.66,370,60
66.27,-110.24,370,130
-7.26,144.14,375,52
-7.33,144.18,377,56
68.66,-97.68,380,65
-7.34,144.17,389,47
47.83,-104.50,400,50
61.23,-71.54,408,80
55.23,-113.22,410,130
66.27,-110.24,410,105
-7.31,144.18,411,55
-17.75,145.51,424,59
46.19,-83.03,430,80
-7.34,144.17,437,59
-32.30,141.50,446,64
44.55,22.03,446,56
59.05,-99.87,460,80
63.90,-123.34,460,220
45.92,-61.52,465,80
-7.34,144.17,469,54
48.42,-92.42,470,250
50.05,-88.95,470,60
-32.30,141.50,471,61
62.71,-137.28,480,80
-32.98,150.90,486,166
44.55,22.03,487,32
44.93,-113.28,490,50
44.55,22.03,492,27
44.55,22.03,493,26
79.50,-87.39,500,80
-17.75,145.51,508,44
-32.30,141.50,510,44
55.78,-88.05,510,80
-9.97,142.18,519,14
45.42,-63.43,520,416
66.27,-110.24,525,130
79.95,-85.43,540,60
56.16,-76.56,550,120
76.26,-93.67,550,70
59.28,-73.37,555,80
61.23,-71.54,560,120
66.27,-110.24,560,95
68.52,-97.14,560,65
74.63,-88.55,560,160
68.54,-97.30,570,105
81.06,-70.05,570,100
72.79,-93.76,585,85
44.63,22.61,588,37
44.63,22.61,594,35
-17.42,124.97,598,57
46.19,-83.01,600,40
62.79,-137.32,600,70
65.97,-71.41,600,70
68.86,-136.93,600,130
-7.44,144.37,603,29
55.42,-116.08,603,80
-9.96,142.16,604,33
-17.75,145.51,605,31
-7.44,144.37,605,29
-23.28,150.99,606,97
59.59,-109.13,610,110
-7.44,144.37,613,34
-7.34,144.17,615,36
62.93,-108.22,620,95
67.27,-63.49,620,80
-14.52,132.90,623,38
61.15,-98.64,625,90
79.50,-87.39,635,105
79.94,-85.39,640,85
53.92,-74.44,650,50
53.65,-74.66,660,190
65.93,-67.13,660,90
-32.30,141.50,665,45
62.79,-115.95,670,70
-6.61,145.93,678,83
62.88,-92.15,680,110
69.15,-140.19,680,90
69.80,-122.76,680,40
46.58,-81.75,690,180
49.43,-54.82,690,40
56.16,-76.56,695,90
65.95,-71.30,700,80
50.05,-88.95,710,175
55.75,-88.08,720,90
72.72,-93.94,720,70
55.92,-87.92,730,90
59.28,-73.32,730,105
69.80,-122.76,740,40
72.69,-77.98,740,60
-9.97,142.18,741,34
62.88,-92.14,755,70
-32.30,141.50,760,54
58.80,-97.75,770,80
66.01,-71.29,770,120
67.86,-131.50,770,470
59.25,-96.08,775,90
56.16,-76.56,780,160
56.55,-157.83,780,70
-32.30,141.50,789,61
48.57,-58.73,790,70
59.28,-73.32,790,100
56.16,-76.56,795,120
59.28,-73.32,800,100
69.80,-122.76,800,40
69.80,-122.76,800,40
45.63,-61.63,810,70
-16.38,144.13,817,63
-16.38,144.13,817,63
64.75,-87.32,820,100
67.02,-160.38,820,200
68.26,-131.03,820,70
69.80,-122.76,820,40
81.92,-69.52,820,75
63.03,-92.19,825,90
63.69,-90.10,825,45
72.79,-93.76,830,70
-9.97,142.18,832,49
-5.91,150.12,835,168
-32.30,141.50,836,60
63.69,-90.10,840,100
-24.21,133.39,845,74
56.16,-76.56,845,120
47.93,-84.85,850,60
62.88,-92.14,850,100
56.18,-76.75,855,95
-32.30,141.50,858,49
64.25,-112.08,865,75
54.99,-89.42,870,100
-7.26,144.14,888,49
55.42,-116.08,888,80
48.22,-90.03,890,130
-17.75,145.51,891,60
63.03,-92.19,905,100
-7.26,144.14,917,58
70.14,-92.43,920,105
69.11,-140.34,939,80
65.93,-67.13,940,90
66.78,-133.10,940,50
56.79,-64.88,950,70
-25.15,148.62,951,73
49.47,-54.63,960,50
-7.26,144.14,968,38
-7.26,144.14,970,42
41.48,-102.84,970,70
71.21,-122.50,970,110
56.79,-64.88,980,150
79.50,-87.39,980,80
-7.26,144.14,988,48
59.48,-97.77,990,110
76.26,-93.67,1000,110
-7.31,144.18,1005,37
55.29,-162.81,1005,105
-7.32,144.17,1006,41
-7.32,144.17,1009,37
56.79,-64.88,1010,90
-7.31,144.18,1015,37
53.90,-65.31,1020,75
75.55,-95.94,1020,50
63.69,-90.10,1025,70
57.75,-112.08,1030,110
75.55,-95.94,1030,50
-7.31,144.18,1037,51
71.21,-122.50,1040,100
72.46,-93.45,1040,65
56.79,-64.88,1050,80
57.55,-157.57,1055,60
46.44,-72.40,1060,105
71.21,-122.50,1060,100
75.55,-95.94,1060,80
45.14,-68.57,1069,123
82.50,-63.11,1070,270
-7.31,144.18,1071,61
-7.31,144.18,1074,59
43.72,-102.03,1090,70
47.72,-68.77,1090,260
66.27,-67.10,1090,95
67.44,-133.74,1090,50
69.39,-93.32,1090,55
-33.37,151.18,1092,120
50.05,-88.95,1095,180
50.47,-113.88,1100,80
50.47,-113.88,1100,85
61.33,-164.92,1100,100
42.42,-82.08,1110,70
43.92,-77.25,1110,60
61.63,-97.90,1110,90
76.41,-87.42,1110,80
-7.34,144.17,1113,60
-17.75,145.51,1119,61
54.99,-89.42,1120,50
-32.30,141.50,1121,75
47.30,-109.98,1130,50
47.87,-53.90,1130,80
47.95,-84.91,1130,140
56.18,-76.75,1130,95
70.03,-144.45,1130,200
-7.31,144.18,1135,54
67.88,-98.15,1135,55
44.30,-100.07,1140,60
53.53,-60.13,1140,110
54.63,-94.25,1140,80
-7.31,144.18,1146,54
48.22,-90.03,1150,60
-7.32,144.17,1164,63
42.33,-122.08,1170,50
49.56,-117.65,1170,260
53.42,-114.58,1175,130
-7.33,144.18,1180,59
69.11,-140.34,1180,90
-7.33,144.18,1184,59
-7.33,144.18,1185,61
-7.31,144.18,1186,60
-7.31,144.18,1192,57
-7.33,144.18,1194,56
-7.31,144.18,1208,49
71.21,-122.50,1210,110
79.50,-87.39,1215,95
42.33,-122.08,1220,90
43.88,-64.90,1220,100
52.45,-55.67,1220,100
56.73,-158.40,1220,60
-7.31,144.18,1227,42
-7.31,144.18,1230,37
51.20,-58.39,1230,100
52.33,-55.91,1235,65
-7.31,144.18,1237,44
44.42,-100.39,1240,75
46.18,-77.61,1240,120
47.30,-109.98,1240,60
48.62,-86.28,1240,130
51.57,-55.58,1240,130
51.58,-88.58,1240,80
56.73,-158.40,1240,50
-17.75,145.51,1243,43
-7.31,144.18,1243,41
-7.31,144.18,1250,41
47.30,-109.98,1250,50
48.62,-86.28,1250,60
49.56,-117.65,1250,120
50.33,-87.17,1250,60
51.57,-55.58,1250,70
46.00,-67.49,1260,90
59.12,-110.49,1260,170
55.85,-108.48,1275,75
46.35,-62.63,1280,100
47.78,-53.87,1280,60
47.78,-53.87,1280,60
50.28,-65.50,1280,170
59.48,-97.77,1290,110
48.57,-58.73,1300,80
61.33,-164.92,1300,95
51.57,-55.58,1310,130
67.86,-131.50,1310,290
-7.31,144.18,1320,24
47.30,-109.98,1320,60
48.22,-90.03,1320,90
51.20,-58.35,1320,330
61.58,-105.76,1320,90
-5.91,150.12,1327,129
48.90,-90.30,1330,190
51.58,-88.58,1330,50
-9.95,142.17,1331,23
47.63,-55.92,1335,115
48.62,-86.28,1340,170
50.16,-101.06,1340,90
61.75,-104.85,1340,50
-17.75,145.51,1344,28
46.08,-60.92,1345,85
47.70,-55.97,1345,115
53.42,-114.58,1345,61
42.42,-82.10,1350,140
48.57,-58.73,1350,60
55.58,-115.92,1350,315
53.92,-74.44,1370,60
67.33,-133.36,1370,60
67.44,-133.74,1375,55
42.08,-82.58,1380,120
51.20,-58.41,1380,80
76.26,-93.67,1380,90
48.42,-83.58,1390,185
61.65,-104.81,1390,50
55.29,-162.81,1395,105
-33.37,151.18,1398,62
-7.31,144.18,1399,48
-7.31,144.18,1399,48
47.72,-68.77,1400,90
-13.10,133.80,1402,43
-32.98,150.90,1405,112
-7.44,144.37,1409,46
45.14,-68.57,1416,56
70.14,-92.43,1420,160
-7.44,144.37,1422,47
48.42,-92.42,1430,60
-17.75,145.51,1432,52
-7.31,144.18,1432,48
-16.38,144.13,1437,72
75.51,-97.25,1440,120
-7.31,144.18,1447,48
46.58,-81.75,1450,250
53.49,-167.32,1450,100
62.42,-77.92,1450,130
75.55,-95.94,1450,60
45.14,-68.57,1459,59
46.08,-60.92,1465,80
48.22,-90.03,1470,120
53.42,-123.08,1470,100
53.49,-167.32,1470,100
59.13,-112.43,1470,130
70.59,-117.33,1470,80
76.26,-93.67,1470,75
82.50,-63.11,1470,30
59.13,-112.43,1475,110
46.42,-62.03,1480,160
70.59,-117.33,1480,70
59.13,-112.43,1485,95
-7.44,144.37,1487,53
-7.44,144.37,1489,53
-7.44,144.37,1490,41
-32.30,141.50,1499,66
76.26,-93.67,1500,75
-17.75,145.51,1505,58
53.42,-123.08,1510,100
75.46,-97.75,1520,200
46.43,-63.25,1530,70
67.76,-115.35,1530,80
68.23,-158.27,1530,50
48.62,-86.28,1540,160
63.69,-90.10,1545,135
75.55,-95.94,1550,50
47.53,-104.72,1555,60
-35.12,150.21,1559,107
47.78,-53.87,1560,60
60.07,-64.30,1560,95
70.59,-117.33,1560,65
47.62,-59.31,1565,95
60.35,-166.22,1565,95
47.67,-68.80,1570,150
63.90,-123.34,1570,60
68.23,-158.27,1570,50
43.25,-79.75,1580,60
46.43,-63.25,1580,50
46.43,-63.25,1580,200
53.49,-167.32,1580,125
55.73,-60.33,1580,70
67.51,-133.24,1580,60
45.63,-61.63,1595,80
45.45,-100.35,1600,100
47.60,-55.82,1600,85
52.49,-125.34,1615,80
-32.30,141.50,1619,92
50.16,-101.06,1620,75
52.65,-111.33,1620,65
47.43,-84.73,1630,100
61.63,-97.74,1630,135
60.82,-115.77,1635,280
45.33,-116.75,1640,100
45.44,-100.34,1640,80
46.75,-77.75,1640,50
50.16,-101.06,1640,75
50.02,-105.00,1645,205
60.35,-64.70,1645,90
51.22,-123.65,1660,80
51.92,-122.25,1660,85
53.79,-56.83,1660,80
49.58,-94.58,1670,115
58.46,-78.09,1670,150
70.59,-117.33,1670,40
43.25,-79.75,1680,60
51.64,-4.70,1685,55
53.79,-56.83,1690,40
52.49,-125.34,1695,90
