Trajectory,Latitude,Longitude,Date,Length,Speed,FST
1,30.5,40.5,45885.529,0,0,67
1,31.5,41.5,45726.931,147.355778542367,5.474450293211,62
1,32.5,42.5,45519.861,772.238613439921,13.5342741322857,62
1,33.5,43.5,45103.121,0,NaN,62
1,34.5,44.5,44591.263,111.194926644559,2.19639960977661,62
1,35.5,45.5,44371.628,775.72998685257,49.6467191585645,62
1,36.5,46.5,44416.645,691.102582896919,38.9924725173122,5
1,37.5,47.5,44366.777,927.418567318779,44.5317664130768,5
1,38.5,48.5,44300.597,492.693333703005,61.4637392344377,5
1,39.5,49.5,44559.467,361.717992299483,11.7700765423481,5
1,40.5,50.5,44354.699,72.2147981024756,5.27423299024975,7
1,40.5,51.5,44109.667,111.194926644559,43.1657323930585,7
1,39.5,51.5,43647.499,1178.10501744523,179.835905578587,7
1,38.5,51.5,43342.686,1164.60733217749,34.0518503019636,7
1,39.5,50.5,43881.257,69.2199312463019,137.88830925547,7
1,38.5,50.5,43549.341,359.770205039079,29.5717742100242,7
1,37.5,51.5,43203.321,939.038361129971,31.1476171265072,7
1,36.5,52.5,43184.451,271.556456572471,52.2324401947382,7
1,36.5,53.5,43134.29,76.5410253736808,25.013406984882,7
1,37.5,54.5,43650.222,408.486226728256,11.9273016447143,7
1,38.5,55.5,43822.024,111.194926644558,3.25178905233394,7
1,39.5,56.5,44460.653,1630.7135975429,148.869234758372,7
1,38.5,57.5,44862.481,1223.71100915989,194.672448164155,7
1,39.5,57.5,45333.833,401.820103339431,514.494370476052,7
1,39.5,58.5,45949.472,76.5410253736818,5.71542901535863,7
1,40.5,58.5,46189.586,1008.18743244622,253.122629286009,7
1,41.5,58.5,46364.408,1342.39697098882,204.353321812783,7
1,42.5,58.5,46510.459,136.182823285998,51.3509891726629,7
1,41.5,59.5,46533.08,111.194926644559,14.279559091384,7
1,42.5,59.5,46589.708,1542.56515240322,280.160761424424,7
1,43.5,60.5,46555.947,4214.15380377814,503.904556233334,7
1,42.5,61.5,47132.448,143.02537209218,87.210592739165,7
1,43.5,61.5,47166.643,4054.73276947779,1547.0174625974,21
1,44.5,61.5,47209.15,1848.38585299739,661.55542340769,21
1,45.5,61.5,47286.167,5034.08847470706,41263.0202834604,21
1,46.5,61.5,47368.56,111.194926644559,10.1353501635751,21
1,47.5,62.5,46797.949,3933.9345701681,5819.42983753128,21
1,46.5,63.5,47203.951,3856.9630345823,254.669067981595,21
1,46.5,64.5,47200.891,111.194926644559,5.39362275148182,21
1,45.5,64.5,47115.208,477.580864288412,23.1588043976584,21
1,45.5,63.5,47090.483,111.194926644559,97.9690983650743,21
1,44.5,64.5,47087.831,476.695386865112,113.283124255052,21
1,43.5,64.5,47080.044,374.539252638246,277.436483436037,21
1,42.5,64.5,47059.12,3933.9345701681,616.6041646027,21
1,41.5,65.5,47401.909,3919.48110792138,1043.52532159949,21
1,42.5,65.5,47452.535,4984.85320804051,71.297745981466,21
1,42.5,65.5,47452.535,5189.16438843612,3352.17337755305,21
1,43.5,66.5,46904.223,111.194926644559,157.277123966365,21
1,44.5,66.5,46900.007,222.389853289117,256.505021095196,21
1,45.5,67.5,46898.306,5105.80527000399,4667.09805300048,21
1,46.5,68.5,47101.035,5267.7233463307,3361.66135695339,21
1,46.5,69.5,47114.427,5166.89400890766,38558.9105126618,21
1,47.5,70.5,47386.284,5225.47622412987,715.818660840136,21
1,48.5,70.5,47509.593,111.194926644559,8.6037547697746,21
1,49.5,71.5,47239.298,4401.08322784057,274.775752503004,21
1,48.5,72.5,47536.51,111.194926644558,2.22047899523828,21
1,48.5,73.5,47347.734,3950.00101884008,3045.49037690374,21
1,49.5,74.5,47308.986,111.194926644558,155.300176877799,21
1,49.5,75.5,47295.294,5295.34274368833,440.324525502178,21
1,50.5,75.5,47292.718,1661.08777903598,108.766879193051,21
1,51.5,74.5,47251.966,58.0986534733252,5.62807841454063,21
1,51.5,75.5,47251.464,3407.8970603207,98.6281092906756,21
1,52.5,76.5,47339.718,199.183730767126,12.3287775914269,21
1,52.5,77.5,47121.494,1416.40581561612,219.631852320918,32
1,53.5,77.5,47097.052,135.388316970827,18.5311137381262,32
1,54.5,77.5,47074.538,1486.42509727308,80.4908808833776,32
1,55.5,77.5,47047.351,111.194926644559,7.56633959203402,32
1,56.5,78.5,47061.914,1514.6830214023,66.4159879594189,32
1,55.5,79.5,46977.895,257.001615902651,24.963731510686,32
1,56.5,80.5,46862.065,3773.70011617786,72.6857759578185,32
1,57.5,80.5,46811.988,4972.58550058545,711.080437663931,90
1,58.5,79.5,46782.677,1520.63985395154,138.896588778955,90
1,58.5,80.5,46772.354,3355.35422393621,212.095715798753,90
1,58.5,81.5,46385.544,4661.95749587566,313.135242871841,90
1,57.5,82.5,46330.706,111.194926644559,49.9079563035994,90
1,58.5,82.5,46278.48,1051.83232042503,744.923739679565,90
1,59.5,82.5,46243.305,3839.05888691703,884.779646673676,90
1,58.5,83.5,46244.647,4016.09045449832,598.70161814238,90
1,57.5,84.5,46030.76,2178.17815701956,237.145145021055,90
1,56.5,85.5,45699.938,6198.62752778514,921.31800353586,90
1,56.5,86.5,45632.363,6277.18015097738,1444.69048353871,90
1,55.5,87.5,45486.41,1317.62370880303,364.085025919723,90
1,54.5,88.5,45407.425,111.194926644559,14.9435461153698,90
1,54.5,89.5,45125.743,1570.85034338238,77.2828074083868,90
1,53.5,90.5,45033.478,111.194926644558,547.758259329186,90
1,52.5,91.5,44871.752,695.850312939255,33.295866450026,90
1,52.5,92.5,44906.079,588.883324808906,1388.87576606179,90
1,51.5,93.5,44750.7,735.358620216833,469.877712600101,90
1,51.5,94.5,44734.169,2249.35785616114,137.164330517743,90
1,51.5,95.5,44754.773,144.43602836831,24.2912930320217,90
1,50.5,95.5,44870.013,2947.94300212019,188.777087738207,90
1,49.5,95.5,44970.763,1848.98117861471,65.7251947467244,32
1,49.5,96.5,45098.841,2479.87623856531,117.329496525618,90
1,50.5,97.5,45189.472,2458.38004749107,72.9446337751682,90
1,49.5,98.5,45557.088,2981.74366146145,596.945677970817,90
1,48.5,98.5,45608.034,3024.69784869213,64.0405210283955,90
1,49.5,99.5,45925.222,2591.49520421619,112.400034880974,90
1,48.5,100.5,46037.147,2155.25381072909,516.847436625897,90
1,47.5,100.5,46043.741,1658.21801586686,619.200155290118,90
1,48.5,101.5,46474.525,2939.97474561994,748.27557791223,90
1,47.5,101.5,46474.728,125.073118351476,93.1990449715079,90
1,46.5,101.5,46453.202,2690.41038175417,50.083031734662,90
1,47.5,102.5,46413.676,4661.06829902255,48.0978691028852,90
1,46.5,103.5,46571.767,245.931673434525,10.7690008947992,90
1,45.5,104.5,46651.921,81.9810244501531,452.933836749043,90
1,45.5,105.5,46707.89,1161.46238199373,44.8112343066343,90
1,46.5,106.5,46715.196,111.194926644558,16.8630462002549,90
1,46.5,107.5,46641.626,1458.88515305033,228.414772671275,90
1,45.5,107.5,46537.419,2679.49955126785,1623.93912197908,90
1,44.5,108.5,46453.626,245.931673434526,82.168952032858,28
1,44.5,109.5,46526.372,2156.01860320813,250.031149624056,28
1,44.5,110.5,46451.637,111.194926644559,73.5416181513983,28
1,43.5,111.5,46255.424,6592.80743873997,99.1250554614309,28
1,42.5,111.5,46026.117,3388.22805894781,139.720744698879,29
1,42.5,112.5,46069.841,5294.26259276802,133.380258301668,28
1,42.5,113.5,46069.66,146.452287026245,0.923418246297179,28
1,42.5,114.5,46029.11,8390.75855187318,1228.69505811623,28
1,42.5,115.5,46092.678,111.194926644559,10.7590640197937,28
1,41.5,116.5,46325.711,4438.12820180057,451.534052477517,28
1,42.5,117.5,46248.576,61.372050925141,0.90820645098242,28
1,41.5,118.5,46541.059,1201.28391224544,49.3766251077129,28
1,40.5,118.5,46538.831,111.194926644559,2.18260367142792,28
1,41.5,119.5,46495.054,4933.54920916574,132.526102268915,28
1,40.5,119.5,46502.495,4301.6261206309,128.594843820266,28
1,40.5,120.5,46582.715,4199.1704184982,85.3229791424947,28
1,41.5,121.5,46737.801,4122.51814955182,138.47894355231,28
1,40.5,122.5,46689.423,2845.23100069924,38.662232317359,28
1,41.5,122.5,46674.727,3325.98229182887,23.0393409011363,28
1,42.5,123.5,46721.645,700.040933232285,10.9846527206184,28
1,41.5,124.5,46985.625,4249.0376912442,187.827676210929,28
1,40.5,124.5,47011.59,4646.58624665759,1085.65099221001,28
1,39.5,124.5,47032.206,608.130894105,9.30390119953219,28
1,38.5,124.5,47048.027,563.28489540209,8.98166141117844,96
1,37.5,124.5,47058.998,394.065863681625,6.09216906316274,96
1,36.5,124.5,47064.535,67.6906416724442,1.97193584270251,29
1,35.5,125.5,47066.175,355.045146423597,204.166271663779,96
1,36.5,126.5,46990.968,3250.84296601708,431.60421747443,96
1,37.5,126.5,46989.833,6846.2284996302,947.837255936863,96
1,38.5,126.5,46984.275,3681.72355680117,36.6395338289412,96
1,39.5,127.5,46974.139,138.436633711576,33.9888617018025,96
1,38.5,128.5,46809.975,69.2199312463019,4.18728033672017,96
1,39.5,128.5,46810.691,4377.96469672441,30.6352756128107,96
1,39.5,129.5,46901.101,711.251539396233,22.3692143475968,96
1,38.5,129.5,46902.675,600.453920002245,6.07660776815284,96
1,37.5,129.5,46901.968,936.91922764074,21.289747946753,96
1,36.5,129.5,46898.44,143.025372092179,3.17714134865006,96
1,35.5,129.5,46891.006,285.31753486112,58.816230645518,96
1,34.5,129.5,46878.082,422.415246023142,34.9739398926226,96
1,33.5,130.5,46517.187,280.880789750017,5.19168958171644,66
1,33.5,131.5,46506.114,7545.93333510279,73.1627544876582,66
1,33.5,132.5,46435.238,111.194926644559,10.393020529447,66
1,34.5,133.5,46429.292,7271.22345727116,94.3187809016687,66
1,35.5,134.5,46251.254,140.069048417268,0.613235184174363,66
1,36.5,135.5,46017.494,446.083813982088,7.53100153600336,66
1,35.5,135.5,46015.982,141.567795577828,0.824017156830722,66
1,35.5,136.5,45709.767,342.909169626684,125.930653553771,66
1,36.5,136.5,45720.102,140.823195827187,1.43465836536179,66
1,37.5,137.5,45437.195,87.0216285574898,0.421096167803781,66
1,37.5,138.5,44855.258,7398.18184963828,68.8952799757705,66
1,38.5,139.5,44197.458,111.194926644559,27.5917932120573,66
1,37.5,139.5,44186.759,7513.298016174,268.792859765837,66
1,37.5,140.5,43231.273,142.30209740547,7.54118163250928,66
1,38.5,140.5,43235.303,89.3844032370603,1.78195018514504,66
1,39.5,141.5,42027.765,7385.76171772376,6.67473551679696,66
1,39.5,142.5,41257.643,85.8002983283816,0.111411306686968,66
1,38.5,142.5,41240.277,111.194926644558,6.40302468297784,66
1,38.5,143.5,39906.048,87.021628557491,0.065222408265366,66
1,38.5,144.5,38462.685,87.0216285574887,0.0602908821671946,66
2,30.5,40.5,45885.529,0,0,67
2,30.5,41.5,45718.162,147.355778542367,5.474450293211,62
2,31.5,41.5,45726.931,132.986200020639,699.927368521103,62
2,32.5,42.5,45519.861,72.2147981024756,3.8837688556785,62
2,31.5,42.5,45504.646,111.194926644559,0.872733118629274,62
2,32.5,43.5,45084.509,368.334348315002,23.5132044886678,62
2,33.5,43.5,45103.121,183.432437425369,3.4979488448777,62
2,34.5,44.5,44591.263,111.194926644559,43.1657323930585,62
2,35.5,45.5,44371.628,1178.10501744523,179.835905578587,62
2,36.5,46.5,44416.645,1225.34737736474,35.3095518359996,5
2,37.5,47.5,44366.777,449.657723267052,606.825537470927,5
2,38.5,48.5,44300.597,747.651933595504,65.4399941878153,5
2,39.5,49.5,44559.467,245.454538707108,22.4302785988416,5
2,40.5,50.5,44354.699,388.198273485594,80.807300892026,7
2,40.5,51.5,44109.667,945.917773229415,197.807982691251,7
2,39.5,51.5,43647.499,1278.87163156712,4440.52649848977,7
2,38.5,51.5,43342.686,444.779706578236,199.542264054896,7
2,39.5,50.5,43881.257,1357.94620883436,191.206168520778,7
2,38.5,50.5,43549.341,1425.11358926821,86.7966130256451,7
2,37.5,51.5,43203.321,111.194926644559,4.92929012521378,7
2,36.5,52.5,43184.451,1587.52647937666,449.724215120088,7
2,36.5,53.5,43134.29,111.194926644558,3.25178905233394,7
2,36.5,54.5,43516.076,651.395504879795,228.399545890615,7
2,37.5,55.5,43561.86,311.718002896905,21.6651378160221,7
2,38.5,54.5,43819.914,401.820103339431,514.494370476052,7
2,38.5,55.5,43822.024,476.476841409506,19.8996342052056,7
2,38.5,56.5,43987.314,136.182823285998,51.3509891726629,7
2,39.5,56.5,44460.653,111.194926644559,14.279559091384,7
2,40.5,55.5,44624.388,1542.56515240322,280.160761424424,7
2,40.5,56.5,44941.542,231.129588577235,18.3087443422982,7
2,40.5,57.5,45708.712,1848.38585299739,661.55542340769,7
2,41.5,57.5,46008.729,1722.64884784997,146.371726387114,7
2,41.5,58.5,46364.408,2349.32815792652,212.820740821235,7
2,40.5,59.5,46456.142,3828.50030567643,257.049839242405,7
2,41.5,60.5,46468.597,1900.39300307089,43.6641087027743,7
2,42.5,60.5,46493.442,1997.51320318967,192.475737443655,7
2,43.5,60.5,46555.947,3826.32232530122,1003.75716823273,7
2,42.5,61.5,47132.448,111.194926644559,13.43420643283,7
2,43.5,61.5,47166.643,111.194926644558,7.11283353448133,21
2,44.5,61.5,47209.15,3368.81972335103,461.988442587828,21
2,45.5,61.5,47286.167,1530.78161698084,81.8206006190191,21
2,46.5,62.5,46634.511,127.39614770772,19.2645013923524,21
2,45.5,63.5,47090.483,1712.07950732783,578.796317555298,21
2,45.5,64.5,47115.208,111.194926644558,19.8491479194179,21
2,44.5,64.5,47087.831,3702.5218399889,2794.35610565814,21
2,43.5,64.5,47080.044,111.194926644559,585.236456016823,21
2,42.5,64.5,47059.12,466.760645246084,33.0590442131967,21
2,41.5,64.5,47021.418,3457.35624449279,651.225512241867,21
2,40.5,64.5,46967.517,3365.11120615331,24562.8555189289,21
2,39.5,65.5,47218.769,111.194926644559,5.45554541480576,21
2,40.5,66.5,46837.182,1819.18082572862,95.2999542002528,21
2,41.5,66.5,46877.678,2106.53730763012,2372.22669778431,21
2,42.5,66.5,46898.621,3642.53047661362,557.387984179293,21
2,43.5,66.5,46904.223,128.977830040289,15.0639838869795,21
2,44.5,67.5,46932.503,1923.98861860988,190.550521799502,21
2,45.5,68.5,47129.596,1878.87996298473,155.228020735693,21
2,46.5,69.5,47114.427,398.38067517937,21.4263795610904,21
2,47.5,69.5,47223.551,1697.33899948172,189.922680931195,21
2,48.5,68.5,47363.399,1696.85665404089,672.288690191161,21
2,49.5,68.5,47490.809,612.011894952001,57.8625219770942,21
2,49.5,69.5,47509.403,2335.84449110735,1482.13482938881,21
2,48.5,70.5,47509.593,2275.98564196278,1842.90335381515,21
2,49.5,71.5,47239.298,2219.57082096164,1184.40278599657,21
2,48.5,72.5,47536.51,2275.98564196278,595.807759676165,21
2,48.5,73.5,47347.734,726.83128720522,60.8328830938586,21
2,48.5,74.5,47228.355,128.977830040289,18.6572877246175,21
2,48.5,75.5,47218.481,232.010700787351,24.9823086881935,21
2,49.5,75.5,47295.294,1714.47964182602,73.8395125468889,21
2,50.5,75.5,47292.718,1035.40646294113,409.737421029032,21
2,51.5,75.5,47251.464,981.538338804526,131.927196075836,21
2,52.5,75.5,47216.252,1054.80277969452,172.01610888697,21
2,53.5,75.5,47192.731,129.77537406989,12.85159180728,21
2,54.5,75.5,47170.173,111.194926644558,21.4786414225395,21
2,55.5,76.5,47250.723,3905.18240663662,116.586529933028,21
2,54.5,77.5,47074.538,3113.47568989754,200.352360997256,32
2,55.5,77.5,47047.351,1502.00949940494,92.1139150867917,32
2,56.5,78.5,47061.914,369.126918034185,23.0848604148988,32
2,55.5,79.5,46977.895,1901.51845304755,164.093756735157,32
2,55.5,80.5,46913.794,3369.08041105346,176.0230099819,32
2,56.5,79.5,46907.181,5373.87749575377,4538.74788492293,32
2,57.5,79.5,46838.07,273.141414580248,35.326101213189,32
2,57.5,80.5,46811.988,136.97272186557,391.350633895121,90
2,58.5,80.5,46772.354,236.559565605681,129.126400440143,90
2,59.5,79.5,46757.677,111.194926644559,16.1245543278058,90
2,59.5,80.5,46754.568,2555.26981234276,66.6059277536928,90
2,58.5,81.5,46385.544,3447.04902511489,560.769322452653,90
2,57.5,82.5,46330.706,3372.56298739547,398.177448334712,90
2,58.5,83.5,46244.647,2552.86528072069,268.270836561562,90
2,59.5,82.5,46243.305,861.073750326707,240.054014587906,90
2,60.5,82.5,46245.495,774.913256654973,559.504156428761,90
2,59.5,83.5,46196.276,723.340588599991,956.79972037802,90
2,58.5,84.5,45975.543,73.6794630764042,92.4460013498812,90
2,59.5,84.5,45928.112,5224.57694933795,15642.4459563225,90
2,58.5,85.5,45543.985,139.306124633542,11.1847550890022,90
2,58.5,86.5,45490.127,5870.29475072343,838.374000388902,90
2,57.5,87.5,45335.847,819.162677422605,276.557284747716,90
2,56.5,88.5,45202.947,1625.74662279429,47.6604796926042,90
2,56.5,89.5,44980.345,1366.67199693006,51.5278059393736,90
2,57.5,89.5,44913.698,2506.63697211954,546.22727655689,90
2,56.5,90.5,44748.731,69.2199312463028,21.0907773450088,90
2,57.5,90.5,44660.355,111.194926644559,22.2567907615246,90
2,57.5,91.5,44498.636,4702.50951855419,568.691440144402,90
2,56.5,92.5,44428.368,4635.91382244847,4854.36002349738,90
2,56.5,93.5,44176.048,111.194926644558,63.2148531237477,90
2,55.5,93.5,44275.492,360.5530686204,34.5423518509613,90
2,56.5,94.5,44212.083,2623.88507388597,127.682971965236,90
2,55.5,95.5,44243.891,2625.68869584181,1894.43628848807,90
2,56.5,96.5,44308.693,233.360162509659,15.0012961243062,90
2,56.5,97.5,44525.787,340.836185938264,17.4895415608672,90
2,55.5,97.5,44652.979,129.775374069889,3.31617964097448,90
2,54.5,97.5,44777.332,1372.62719631027,278.592895536704,90
2,53.5,97.5,44896.41,3893.26301625133,824.843859376349,90
2,53.5,98.5,45183.283,229.43202525354,270.556633551976,90
2,54.5,99.5,45488.041,2684.80530873741,8860.74359319619,90
2,55.5,100.5,45565.25,2746.6358722859,2643.53789441169,90
2,55.5,101.5,46012.852,2617.88980722975,91.3589184166761,90
2,54.5,101.5,46127.089,111.194926644559,16.4489536456399,90
2,55.5,102.5,46150.66,2624.40607134619,225.969181276552,90
