Trajectory,Latitude,Longitude,Date,Length,Speed,FST
1,30.5,40.5,45885.529,0,0,67
1,31.5,41.5,45726.931,111.194926644557,35.8693311756805,62
1,32.5,42.5,45519.861,222.389853289118,958.576953847556,62
1,33.5,43.5,45103.121,111.194926644559,62.0853861777031,62
1,34.5,44.5,44591.263,333.584779933675,51.8955787077911,62
1,35.5,45.5,44371.628,243.896652320234,3.90690970766254,62
1,36.5,46.5,44416.645,111.194926644559,8.09750412500216,5
1,37.5,47.5,44366.777,111.194926644559,20.3840378816725,5
1,38.5,48.5,44300.597,218.48727334983,75.2885159718254,5
1,39.5,49.5,44559.467,111.194926644559,4.15045823763724,5
1,40.5,50.5,44354.699,55.679322657889,2.68321153958355,7
1,41.5,50.5,44802.158,1784.89565587598,17.2583749673764,7
1,40.5,49.5,45045.37,1269.26188644741,63.1096801137303,5
1,40.5,48.5,45242.847,347.389194217505,144.624976776534,5
1,41.5,48.5,45685.636,115.846085851751,12.8904067933391,5
1,40.5,47.5,46196.079,224.613052034264,35.6528654022888,5
1,40.5,46.5,46498.218,1492.2376815115,823.076492835034,5
1,40.5,45.5,46680.303,1508.58772926959,1734.0088842127,5
1,41.5,46.5,46891.959,345.917801746387,13.7067718725036,5
1,42.5,46.5,47159.234,111.194926644557,32.8299163403354,45
1,42.5,45.5,47313.253,111.194926644559,9.92014690378566,45
1,43.5,46.5,47315.33,114.8548840092,162.453867056366,45
1,43.5,47.5,47324.242,27.8406549686607,4.52767197408871,45
1,44.5,46.5,47347.069,111.194926644559,422.794397889647,45
1,45.5,47.5,47364.554,632.926000129281,132.633277478769,45
1,45.5,46.5,47247.318,647.883498449629,58.043674829764,45
1,46.5,46.5,47009.431,1688.75291064948,68.8051218484912,45
1,47.5,47.5,46838.924,887.532744607344,15.8981969800331,45
1,47.5,46.5,46622.148,895.126589577817,104.351432685759,45
1,48.5,46.5,46095.956,955.598062707863,51.3155441256421,45
1,49.5,47.5,45854.976,296.244683342613,25.7402626937753,45
1,49.5,46.5,45526.235,151.592752878008,14.6863740435969,45
1,50.5,47.5,45366.575,736.517065190894,99.7855392481739,45
1,51.5,47.5,44981.285,1272.37550115827,38.4229352607082,45
1,51.5,48.5,44540.203,665.45270434047,50.712749911623,45
1,52.5,49.5,44702.039,875.977115620295,33.5919436906231,45
1,53.5,50.5,45055.906,340.183600421257,48.6115462162442,45
1,54.5,51.5,45061.833,991.637954428316,206.290400338709,45
1,55.5,52.5,45061.246,1062.08875656814,327.602947737905,21
1,56.5,53.5,45100.92,500.950046086948,118.009433707302,21
1,57.5,53.5,45073.842,742.419453574617,4218.29234986833,42
1,58.5,53.5,45054.857,962.898379057961,164.654305584519,42
1,59.5,54.5,44795.181,491.457369626102,565.543578392035,42
1,59.5,55.5,44655.827,1529.86914227754,377.000774341688,42
1,60.5,56.5,44606.182,933.661339907642,476.844402404623,42
1,59.5,57.5,44745.78,40.7526292455364,2.26277785927439,21
