Trajectory,Latitude,Longitude,Date,Length,Speed,FST
1,10.5,-82.5,12726.277,0,0,34
1,9.5,-82.5,12726.447,111.194926644559,15.0548235370366,34
1,8.5,-83.5,12726.317,222.389853289117,34.6725683331921,38
1,8.5,-82.5,12729.975,333.584779933676,17.771284424575,34
1,8.5,-81.5,12727.954,111.194926644559,2.72043173275332,34
1,9.5,-80.5,14159.52,667.169559867352,14.5470108773376,34
1,8.5,-79.5,14335.86,248.589566796915,152.602557886475,34
1,7.5,-79.5,14496.601,566.858877388558,69.4339634233845,34
1,6.5,-78.5,14566.468,896.428360123959,153.445457056466,34
1,6.5,-77.5,14497.429,314.44486257478,10.1032953948779,34
1,5.5,-76.5,14505.36,786.170952951745,23.6798479804737,34
1,4.5,-75.5,14540.536,1117.4469015985,21.270522539231,34
1,3.5,-74.5,14578.954,1228.13416403583,38.5793228634752,34
1,2.5,-73.5,14656.506,3447.04272598132,151.791920647374,34
1,1.5,-72.5,14733.124,139.306124633542,274.765531821794,34
1,0.5,-71.5,14792.803,237.466592539578,491.649259916132,34
1,0.5,-72.5,14879.407,81.9810244501531,36.9783601489096,34
1,-0.5,-72.5,14996.265,237.466592539578,61.4243643402945,34
1,-1.5,-71.5,15011.9,333.584779933676,153.654896330683,34
1,-2.5,-70.5,14965.142,452.498670291224,99.6693106368142,34
1,-3.5,-70.5,15010.271,85.8002983283827,9.5716530933047,84
1,-3.5,-71.5,15117.408,555.974633222794,565.589657398469,84
1,-4.5,-71.5,15131.208,5003.77169900514,600.692881033036,84
1,-5.5,-71.5,15123.822,5004.75035144174,1009.02224827472,84
1,-6.5,-71.5,15098.637,667.169559867352,3223.04135201098,84
1,-7.5,-71.5,15057.763,87.0216285574898,8.66404107501901,84
1,-8.5,-71.5,15002.107,1004.02859539545,85.7411268484513,84
1,-9.5,-71.5,14931.942,269.963173089724,87.1411146190214,84
1,-10.5,-71.5,14847.573,135.388316970827,28.1765487972567,84
1,-11.5,-71.5,14749.954,1004.13608302733,286.814076842978,84
1,-12.5,-71.5,14639.823,2892.78844952485,639.431575933955,84
1,-13.5,-71.5,14516.955,3892.96341614296,244.210740614969,84
1,-14.5,-71.5,14384.767,5340.94923651795,6007.81691396147,84
1,-15.5,-71.5,14249.017,5559.74633222794,9455.35090515377,11
1,-16.5,-71.5,14112.838,133.789080857817,90.8276176903059,11
1,-17.5,-71.5,13979.858,188.053464882682,10.2913295508504,11
1,-18.5,-71.5,13853.088,1115.03704098386,16642.3438950538,11
1,-19.5,-71.5,13736.296,89.3844032370609,9.75918803767489,NaN
1,-20.5,-71.5,13634.49,1234.14153206956,49.6756372592784,NaN
1,-21.5,-71.5,13558.039,133.789080857817,13.9815112193357,NaN
1,-22.5,-71.5,13524.86,132.986200020639,127.137858528302,NaN
1,-23.5,-71.5,13559.592,132.182408528882,15.8131844154655,NaN
1,-24.5,-70.5,13554.999,1669.86422659772,544.994852023022,NaN
1,-25.5,-69.5,13699.804,4230.53175722546,24037.112256786,NaN
1,-26.5,-69.5,13877.664,1682.48760070854,100.850422628342,NaN
1,-26.5,-70.5,13901.968,2337.29681555181,232.520574567438,NaN
1,-26.5,-71.5,13984.075,2001.50867960206,214.938646864484,NaN
1,-27.5,-71.5,14114.688,1897.11203270535,191.010071758479,NaN
1,-28.5,-70.5,14163.726,91.6382779368978,20.1005215917772,11
1,-28.5,-71.5,14220.884,1890.3137529575,166.812014909764,11
1,-28.5,-72.5,14308.809,6122.34148359082,390.405655119918,11
1,-29.5,-71.5,14307.54,554.579628130916,44.4161163007338,4
1,-30.5,-70.5,14351.471,6593.95762016697,562.14472465185,4
1,-31.5,-70.5,14425.697,2112.70360624662,1436.23630608244,4
1,-31.5,-71.5,14442.149,92.7235142869711,480.432716514542,4
1,-32.5,-70.5,14491.878,4258.0360250404,339.610466186014,4
1,-33.5,-70.5,14553.074,2049.63350979298,86.9188545775398,4
1,-33.5,-71.5,14553.267,2183.63301066004,188.325399798203,4
1,-33.5,-72.5,14629.771,156.82220622486,19.7733206688753,4
1,-34.5,-71.5,14605.968,247.155106121747,298.496504978129,4
1,-34.5,-70.5,14610.527,4548.88187195677,963.133997873557,4
1,-35.5,-71.5,14656.682,145.794350985685,2.93177725242177,4
1,-36.5,-71.5,14703.564,94.8089320006254,5.76276027234557,4
1,-36.5,-70.5,14712.723,1893.05146817867,46.2509520688653,4
1,-37.5,-70.5,14754.478,1782.05307287188,53.5215363068195,4
1,-38.5,-71.5,14777.592,4441.74807114304,284.526812577243,4
1,-38.5,-70.5,14787.636,4182.31519674771,154.60852451841,4
1,-39.5,-71.5,14802.116,147.72269019976,116.408739322258,4
1,-39.5,-70.5,14811.08,1556.72897302382,26.6002934405925,4
1,-40.5,-71.5,14817.791,1445.53404637926,51.3821507261676,4
1,-40.5,-70.5,14824.357,97.719721977781,1.70964207946013,4
1,-41.5,-71.5,14824.864,4359.86757305182,1036.5828751906,4
1,-42.5,-71.5,14823.874,4226.91833751685,94.2835103835835,4
1,-42.5,-70.5,14821.657,1223.14419309015,661.159023291841,4
1,-43.5,-71.5,14815.62,1111.94926644559,8.6356272100339,4
1,-44.5,-71.5,14801.133,1000.75433980103,237.314284989542,4
1,-44.5,-70.5,14787.843,1006.03471498992,12.9160959685444,4
1,-45.5,-70.5,14762.784,99.5119092208378,4.09446631092978,4
1,-46.5,-71.5,14757.979,912.921550102883,37.1468729696797,4
1,-47.5,-72.5,14765.882,111.194926644559,0.952076568982114,4
1,-48.5,-72.5,14732.536,698.047658414385,19.1287859918443,4
1,-47.5,-71.5,14731.063,592.42951313892,9.07048279295277,4
1,-46.5,-70.5,14734.013,333.584779933676,4.45385430764079,4
1,-46.5,-69.5,14712.79,222.389853289117,143.200163096674,4
1,-47.5,-69.5,14678.72,348.929390028247,114.779404614522,4
1,-48.5,-70.5,14669.151,244.650620462589,8.11741001568053,4
1,-49.5,-71.5,14668.105,3649.39376256345,4.59109652662139,4
