Trajectory,Pairwise_Distance
AFRICA-BERINGIA,-12.6249999999999
AFRICA-BERINGIA,-2.64999999999998
AFRICA-BERINGIA,76.31
AFRICA-BERINGIA,118.375
AFRICA-BERINGIA,-94.505
AFRICA-BERINGIA,-84.53
AFRICA-BERINGIA,-5.57000000000002
AFRICA-BERINGIA,36.495
AFRICA-FINLAND,-101.835
AFRICA-FINLAND,-57.75
AFRICA-FINLAND,37.9
AFRICA-FINLAND,-12.03
AFRICA-FINLAND,-95.91
AFRICA-FINLAND,-126.295
AFRICA-FINLAND,-82.21
AFRICA-FINLAND,13.44
AFRICA-FINLAND,-36.49
AFRICA-FINLAND,-120.37
AFRICA-JAPAN,246.5
AFRICA-JAPAN,114.5
AFRICA-JAPAN,36.5
AFRICA-JAPAN,216.5
AFRICA-JAPAN,117.5
AFRICA-JAPAN,77
AFRICA-JAPAN,24.5
AFRICA-JAPAN,-107.5
AFRICA-JAPAN,-185.5
AFRICA-JAPAN,-5.5
AFRICA-JAPAN,-104.5
AFRICA-JAPAN,-145
AFRICA-PORTUGAL,144
AFRICA-PORTUGAL,166
AFRICA-PORTUGAL,161
AFRICA-PORTUGAL,104.5
AFRICA-PORTUGAL,-36
AFRICA-PORTUGAL,-14
AFRICA-PORTUGAL,-19
AFRICA-PORTUGAL,-75.5
BERINGIA-MEXICO,250
BERINGIA-MEXICO,78
BERINGIA-MEXICO,115
BERINGIA-MEXICO,187.5
BERINGIA-MEXICO,84.5
BERINGIA-MEXICO,-171
BERINGIA-MEXICO,24
BERINGIA-MEXICO,-148
BERINGIA-MEXICO,-111
BERINGIA-MEXICO,-38.5
BERINGIA-MEXICO,-141.5
BERINGIA-MEXICO,-397
MEXICO-BRAZIL,-62.4
MEXICO-BRAZIL,-326.305
MEXICO-BRAZIL,-30.805
MEXICO-BRAZIL,-73.845
MEXICO-BRAZIL,35.735
MEXICO-BRAZIL,-228.17
MEXICO-BRAZIL,67.33
MEXICO-BRAZIL,24.29
MEXICO-CHILE,706.51
MEXICO-CHILE,779.745
MEXICO-CHILE,778.075
MEXICO-CHILE,370.82
MEXICO-CHILE,611.61
MEXICO-CHILE,-6.02000000000001
MEXICO-CHILE,67.215
MEXICO-CHILE,65.545
MEXICO-CHILE,-341.71
MEXICO-CHILE,-100.92
