Trajectory,Pairwise_Distance
AFRICA-BERINGIA,2.55
AFRICA-BERINGIA,1.615
AFRICA-BERINGIA,-0.645
AFRICA-BERINGIA,1.385
AFRICA-BERINGIA,2.185
AFRICA-BERINGIA,1.25
AFRICA-BERINGIA,-1.01
AFRICA-BERINGIA,1.02
AFRICA-FINLAND,-0.25
AFRICA-FINLAND,-1.08
AFRICA-FINLAND,2.57
AFRICA-FINLAND,1.015
AFRICA-FINLAND,-0.7
AFRICA-FINLAND,0.165
AFRICA-FINLAND,-0.665
AFRICA-FINLAND,2.985
AFRICA-FINLAND,1.43
AFRICA-FINLAND,-0.285
AFRICA-JAPAN,1.655
AFRICA-JAPAN,2.7
AFRICA-JAPAN,-0.205
AFRICA-JAPAN,0.675
AFRICA-JAPAN,2.575
AFRICA-JAPAN,-0.14
AFRICA-JAPAN,0.225
AFRICA-JAPAN,1.27
AFRICA-JAPAN,-1.635
AFRICA-JAPAN,-0.755000000000001
AFRICA-JAPAN,1.145
AFRICA-JAPAN,-1.57
AFRICA-PORTUGAL,1.52
AFRICA-PORTUGAL,0.589999999999999
AFRICA-PORTUGAL,1.08
AFRICA-PORTUGAL,0.6
AFRICA-PORTUGAL,0.0100000000000007
AFRICA-PORTUGAL,-0.92
AFRICA-PORTUGAL,-0.43
AFRICA-PORTUGAL,-0.909999999999999
BERINGIA-MEXICO,4.55
BERINGIA-MEXICO,7.58
BERINGIA-MEXICO,1.85
BERINGIA-MEXICO,5.32
BERINGIA-MEXICO,0.85
BERINGIA-MEXICO,1.87
BERINGIA-MEXICO,3.22
BERINGIA-MEXICO,6.25
BERINGIA-MEXICO,0.52
BERINGIA-MEXICO,3.99
BERINGIA-MEXICO,-0.48
BERINGIA-MEXICO,0.54
MEXICO-BRAZIL,-0.605
MEXICO-BRAZIL,-0.99
MEXICO-BRAZIL,-0.35
MEXICO-BRAZIL,-0.445
MEXICO-BRAZIL,-0.215
MEXICO-BRAZIL,-0.6
MEXICO-BRAZIL,0.04
MEXICO-BRAZIL,-0.0549999999999999
MEXICO-CHILE,-0.54
MEXICO-CHILE,-0.0700000000000003
MEXICO-CHILE,-0.39
MEXICO-CHILE,-0.75
MEXICO-CHILE,-0.31
MEXICO-CHILE,-0.13
MEXICO-CHILE,0.34
MEXICO-CHILE,0.02
MEXICO-CHILE,-0.34
MEXICO-CHILE,0.1
