Trajectory,Pairwise_Distance
AFRICA-BERINGIA,-34.7298979337814
AFRICA-BERINGIA,-16.1243476287724
AFRICA-BERINGIA,-3.30161247687021
AFRICA-BERINGIA,-32.9946421737467
AFRICA-BERINGIA,-47.8315509339116
AFRICA-BERINGIA,-29.2260006289026
AFRICA-BERINGIA,-16.4032654770004
AFRICA-BERINGIA,-46.0962951738768
AFRICA-FINLAND,3.39869281045752
AFRICA-FINLAND,-12.6696832579185
AFRICA-FINLAND,-38.7085868830291
AFRICA-FINLAND,-12.2266707730212
AFRICA-FINLAND,0.997899159663866
AFRICA-FINLAND,-0.0419287211740027
AFRICA-FINLAND,-16.1103047895501
AFRICA-FINLAND,-42.1492084146606
AFRICA-FINLAND,-15.6672923046528
AFRICA-FINLAND,-2.44272237196765
AFRICA-JAPAN,-29.6934260429836
AFRICA-JAPAN,-25.7275132275132
AFRICA-JAPAN,-0.0498802873104509
AFRICA-JAPAN,-27.3736037624926
AFRICA-JAPAN,-30.1633444075305
AFRICA-JAPAN,14.4102990033223
AFRICA-JAPAN,-14.1322015531876
AFRICA-JAPAN,-10.1662887377173
AFRICA-JAPAN,15.5113442024855
AFRICA-JAPAN,-11.8123792726967
AFRICA-JAPAN,-14.6021199177345
AFRICA-JAPAN,29.9715234931182
AFRICA-PORTUGAL,-7.07720588235294
AFRICA-PORTUGAL,15.6804078014184
AFRICA-PORTUGAL,5.92206790123457
AFRICA-PORTUGAL,9.17467948717949
AFRICA-PORTUGAL,-17.9444811632518
AFRICA-PORTUGAL,4.81313252051957
AFRICA-PORTUGAL,-4.9452073796643
AFRICA-PORTUGAL,-1.69259579371938
BERINGIA-MEXICO,-5.10116229014206
BERINGIA-MEXICO,0.38414527675921
BERINGIA-MEXICO,-15.4768294864913
BERINGIA-MEXICO,-5.57971014492754
BERINGIA-MEXICO,-13.5170038743005
BERINGIA-MEXICO,4.73864191499755
BERINGIA-MEXICO,-7.22498517132819
BERINGIA-MEXICO,-1.73967760442692
BERINGIA-MEXICO,-17.6006523676775
BERINGIA-MEXICO,-7.70353302611367
BERINGIA-MEXICO,-15.6408267554866
BERINGIA-MEXICO,2.61481903381142
MEXICO-BRAZIL,-2.63157894736842
MEXICO-BRAZIL,26.6423357664234
MEXICO-BRAZIL,10
MEXICO-BRAZIL,8.9041095890411
MEXICO-BRAZIL,-39.9331662489557
MEXICO-BRAZIL,-10.6592515351639
MEXICO-BRAZIL,-27.3015873015873
MEXICO-BRAZIL,-28.3974777125462
MEXICO-CHILE,-24.5682888540031
MEXICO-CHILE,-21.4636427402385
MEXICO-CHILE,-26.1638361638362
MEXICO-CHILE,14.5313510019392
MEXICO-CHILE,-12.5274725274725
MEXICO-CHILE,-10.5993748850892
MEXICO-CHILE,-7.49472877132452
MEXICO-CHILE,-12.1949221949222
MEXICO-CHILE,28.5002649708532
MEXICO-CHILE,1.44144144144144
