Variable,Trajectory,Pairwise_Distance
Temperature,AFRICA-BERINGIA,2.55
Temperature,AFRICA-BERINGIA,1.615
Temperature,AFRICA-BERINGIA,-0.645
Temperature,AFRICA-BERINGIA,1.385
Temperature,AFRICA-BERINGIA,2.185
Temperature,AFRICA-BERINGIA,1.25
Temperature,AFRICA-BERINGIA,-1.01
Temperature,AFRICA-BERINGIA,1.02
Temperature,AFRICA-FINLAND,-0.25
Temperature,AFRICA-FINLAND,-1.08
Temperature,AFRICA-FINLAND,2.57
Temperature,AFRICA-FINLAND,1.015
Temperature,AFRICA-FINLAND,-0.7
Temperature,AFRICA-FINLAND,0.165
Temperature,AFRICA-FINLAND,-0.665
Temperature,AFRICA-FINLAND,2.985
Temperature,AFRICA-FINLAND,1.43
Temperature,AFRICA-FINLAND,-0.285
Temperature,AFRICA-JAPAN,1.655
Temperature,AFRICA-JAPAN,2.7
Temperature,AFRICA-JAPAN,-0.205
Temperature,AFRICA-JAPAN,0.675
Temperature,AFRICA-JAPAN,2.575
Temperature,AFRICA-JAPAN,-0.14
Temperature,AFRICA-JAPAN,0.225
Temperature,AFRICA-JAPAN,1.27
Temperature,AFRICA-JAPAN,-1.635
Temperature,AFRICA-JAPAN,-0.755
Temperature,AFRICA-JAPAN,1.145
Temperature,AFRICA-JAPAN,-1.57
Temperature,AFRICA-PORTUGAL,1.52
Temperature,AFRICA-PORTUGAL,0.59
Temperature,AFRICA-PORTUGAL,1.08
Temperature,AFRICA-PORTUGAL,0.6
Temperature,AFRICA-PORTUGAL,0.01
Temperature,AFRICA-PORTUGAL,-0.92
Temperature,AFRICA-PORTUGAL,-0.43
Temperature,AFRICA-PORTUGAL,-0.91
Temperature,BERINGIA-MEXICO,4.55
Temperature,BERINGIA-MEXICO,7.58
Temperature,BERINGIA-MEXICO,1.85
Temperature,BERINGIA-MEXICO,5.32
Temperature,BERINGIA-MEXICO,0.85
Temperature,BERINGIA-MEXICO,1.87
Temperature,BERINGIA-MEXICO,3.22
Temperature,BERINGIA-MEXICO,6.25
Temperature,BERINGIA-MEXICO,0.52
Temperature,BERINGIA-MEXICO,3.99
Temperature,BERINGIA-MEXICO,-0.48
Temperature,BERINGIA-MEXICO,0.54
Temperature,MEXICO-BRAZIL,-0.605
Temperature,MEXICO-BRAZIL,-0.99
Temperature,MEXICO-BRAZIL,-0.35
Temperature,MEXICO-BRAZIL,-0.445
Temperature,MEXICO-BRAZIL,-0.215
Temperature,MEXICO-BRAZIL,-0.6
Temperature,MEXICO-BRAZIL,0.04
Temperature,MEXICO-BRAZIL,-0.055
Temperature,MEXICO-CHILE,-0.54
Temperature,MEXICO-CHILE,-0.07
Temperature,MEXICO-CHILE,-0.39
Temperature,MEXICO-CHILE,-0.75
Temperature,MEXICO-CHILE,-0.31
Temperature,MEXICO-CHILE,-0.13
Temperature,MEXICO-CHILE,0.34
Temperature,MEXICO-CHILE,0.02
Temperature,MEXICO-CHILE,-0.34
Temperature,MEXICO-CHILE,0.1
Precipitation,AFRICA-BERINGIA,0.08
Precipitation,AFRICA-BERINGIA,0.07
Precipitation,AFRICA-BERINGIA,0.08
Precipitation,AFRICA-BERINGIA,0.06
Precipitation,AFRICA-BERINGIA,0.03
Precipitation,AFRICA-BERINGIA,0.02
Precipitation,AFRICA-BERINGIA,0.03
Precipitation,AFRICA-BERINGIA,0.01
Precipitation,AFRICA-FINLAND,-0.09
Precipitation,AFRICA-FINLAND,-0.04
Precipitation,AFRICA-FINLAND,0.09
Precipitation,AFRICA-FINLAND,0.03
Precipitation,AFRICA-FINLAND,-0.12
Precipitation,AFRICA-FINLAND,-0.05
Precipitation,AFRICA-FINLAND,0
Precipitation,AFRICA-FINLAND,0.13
Precipitation,AFRICA-FINLAND,0.07
Precipitation,AFRICA-FINLAND,-0.08
Precipitation,AFRICA-JAPAN,0.09
Precipitation,AFRICA-JAPAN,0.14
Precipitation,AFRICA-JAPAN,0.03
Precipitation,AFRICA-JAPAN,0.06
Precipitation,AFRICA-JAPAN,0.175
Precipitation,AFRICA-JAPAN,0.08
Precipitation,AFRICA-JAPAN,-0.03
Precipitation,AFRICA-JAPAN,0.02
Precipitation,AFRICA-JAPAN,-0.09
Precipitation,AFRICA-JAPAN,-0.06
Precipitation,AFRICA-JAPAN,0.055
Precipitation,AFRICA-JAPAN,-0.04
Precipitation,AFRICA-PORTUGAL,0
Precipitation,AFRICA-PORTUGAL,-0.005
Precipitation,AFRICA-PORTUGAL,0.03
Precipitation,AFRICA-PORTUGAL,-0.01
Precipitation,AFRICA-PORTUGAL,-0.035
Precipitation,AFRICA-PORTUGAL,-0.04
Precipitation,AFRICA-PORTUGAL,-0.005
Precipitation,AFRICA-PORTUGAL,-0.045
Precipitation,BERINGIA-MEXICO,0.27
Precipitation,BERINGIA-MEXICO,0.32
Precipitation,BERINGIA-MEXICO,0
Precipitation,BERINGIA-MEXICO,0.13
Precipitation,BERINGIA-MEXICO,0.105
Precipitation,BERINGIA-MEXICO,0.09
Precipitation,BERINGIA-MEXICO,0.12
Precipitation,BERINGIA-MEXICO,0.17
Precipitation,BERINGIA-MEXICO,-0.15
Precipitation,BERINGIA-MEXICO,-0.02
Precipitation,BERINGIA-MEXICO,-0.045
Precipitation,BERINGIA-MEXICO,-0.06
Precipitation,MEXICO-BRAZIL,0.91
Precipitation,MEXICO-BRAZIL,0.61
Precipitation,MEXICO-BRAZIL,0.95
Precipitation,MEXICO-BRAZIL,0.855
Precipitation,MEXICO-BRAZIL,0.31
Precipitation,MEXICO-BRAZIL,0.01
Precipitation,MEXICO-BRAZIL,0.35
Precipitation,MEXICO-BRAZIL,0.255
Precipitation,MEXICO-CHILE,0.17
Precipitation,MEXICO-CHILE,0.19
Precipitation,MEXICO-CHILE,0.12
Precipitation,MEXICO-CHILE,-0.06
Precipitation,MEXICO-CHILE,-0.08
Precipitation,MEXICO-CHILE,0.06
Precipitation,MEXICO-CHILE,0.08
Precipitation,MEXICO-CHILE,0.01
Precipitation,MEXICO-CHILE,-0.17
Precipitation,MEXICO-CHILE,-0.19
DistanceRivers,AFRICA-BERINGIA,-12.625
DistanceRivers,AFRICA-BERINGIA,-2.65
DistanceRivers,AFRICA-BERINGIA,76.31
DistanceRivers,AFRICA-BERINGIA,118.375
